Protein.Names	DMSO_01	DMSO_02	DMSO_03	DMSO_04	DMSO_05	DMSO_06	DMSO_07	DMSO_08	DMSO_09	DMSO_10	DMSO_11	DMSO_12	IHK44_100nM_01	IHK44_100nM_02	IHK44_100nM_03	IHK44_100nM_04	IHK44_100nM_05	IHK44_100nM_06	IHK44_125nM_01	IHK44_125nM_02	IHK44_125nM_03	IHK44_125nM_04	IHK44_125nM_05	IHK44_125nM_06	IHK44_150nM_01	IHK44_150nM_02	IHK44_150nM_03	IHK44_150nM_04	IHK44_150nM_05	IHK44_150nM_06
1433B_HUMAN	89895.8	87263	79323	136691	105311	107086	135470	91128.1	89012	107318	92537.7	90535.8	82296.7	75242.5	72609.6	99741.8	104614	105079	84469.5	96748.8	83003.9	96404	96337.2	73481.3	83411	85483.3	107184	100761	90487.6	94053.2
1433E_HUMAN	626526	601329	645765	736850	689596	730988	788086	616958	582629	638885	551487	570906	666155	567981	579837	599596	664696	621794	688755	664926	578809	535618	600858	494091	632683	699667	717289	661481	687264	620319
1433F_HUMAN	52053.9	50166.4	56447.1	58513.4	52186.2	58553.8	63412	49178.1	53103.9	55930.2	50677.4	46684.3	56387.7	46009	51531	45240.7	57367.5	50507.4	57636.4	56418.5	47592.9	46740.1	52797.4	41741.7	54215.1	53414.4	50037.2	53191.1	50641	51024.8
1433G_HUMAN	218023	216576	209908	247861	242103	225833	245215	210655	214766	233140	196573	225211	227774	198812	220591	205558	219492	220738	217919	219771	191619	199654	194895	181531	192556	230267	238702	224588	199402	205796
1433S_HUMAN	180411	170898	156720	NA	183548	200847	217423	178195	177626	NA	166442	170372	174582	158234	NA	175327	180835	195740	180404	171941	187438	177026	171841	NA	NA	182158	187214	179847	178175	173287
1433T_HUMAN	110260	118142	118413	128144	124011	116916	121076	114690	109403	120659	109504	115306	117134	107158	105603	96486.8	116743	117780	117246	116077	104499	109809	102257	96537.7	107997	114161	103829	114768	96223	106695
1433Z_HUMAN	109820	112032	118676	131813	130136	127934	133692	114000	103107	122035	104975	103034	114089	88170.8	101913	95097.1	115448	107153	115440	114937	106077	104763	111345	99068.7	102612	116710	122784	118499	105973	105195
2A5D_HUMAN	11539	8939.97	11479	8641.31	8578.12	9217.32	10125	9153.09	8116.72	7446.42	8729.83	10537	11380.3	10674.3	12026.4	9247	11268.5	9926.95	11117	10465	8608.78	10073.2	9384.57	8601.47	11573.6	10386.7	10772	10983.9	10834.9	12445.9
2A5E_HUMAN	23003.3	19860.3	20073.5	20058.1	20580	21573	20104.7	20764.3	21502.7	19904.6	20241.1	19045.2	21797	20084.9	21385.3	19297.3	19450.7	19487.9	21542.9	22672.7	19716.2	20125.2	19830.3	17474.1	22180.3	19955.3	19892.9	22287.7	22558.9	21433
2A5G_HUMAN	19170.5	19822.1	19841.3	19347.7	17806.6	20054.9	18432.1	20027.7	20289	19239.5	19454.9	17106.9	19378.9	18143.8	17556.6	20043	20147.4	18944.1	19869.3	19878	15047.6	19180.4	17288.6	16610.4	21766.3	19875.7	18721.7	17793.8	20456.2	20475
2AAA_HUMAN	73508.3	72442.7	73085.8	75228.7	71782	71054.3	71873.3	75002.6	76757	73481.5	76652	74457.1	73398.8	80928.3	78174.4	75804.2	76490.6	75052.1	72713.9	80078.9	75227.6	76437.3	76574.5	74778.9	75690.1	72986.5	71973.8	78500.8	79098.5	77158.6
2AAB_HUMAN	5185.08	5241.2	6711.66	4079.97	4323.5	4575.61	5678.17	4975.96	5013.29	4579.69	4644.78	5511.91	5171.8	8255.35	6702.82	4392.8	6353.59	6083.31	6718.51	5794.65	4705.13	4377.64	5882.78	5132.93	5280.75	4030.98	7348.32	6314.54	5572.1	4480.46
2ABA_HUMAN	11315.5	10099.1	11916	11207.4	10226.7	10083.6	11458.7	10980.9	12475.8	10615.1	10177.3	11532.1	12769.3	10208.3	11338	11022.5	10574.8	9657.24	12391.5	9616.88	10251.8	10584	9439.38	10256.9	10474.7	12429.5	10175.7	11881	9443.65	10098.6
3BP1_HUMAN;BGIN_HUMAN	11227.4	10962.1	10581.5	10480.6	11410.6	11114.5	11202.2	11302.9	9398.98	10659.5	11948.3	9822.3	10155.5	11136.8	9812.86	12606.6	10347.1	11415.9	9083.98	10888.2	12374.2	11836	10861.8	11487.4	9086.76	11439.1	10337.5	11176.4	11480.1	11059
3HIDH_HUMAN	2855.54	2830.08	3552.27	3312.7	3000.86	2108.04	4568.27	2648.42	1877.66	2019.94	1648.8	2573.69	4153.7	3408.95	3500.04	NA	2371.64	3596.41	4869.76	2673.64	2944.55	2245.79	2130.09	2900.42	3537.68	4123.93	2190.59	2890.27	2166.51	2218.07
3MG_HUMAN	108210	108202	115530	114397	120160	115601	112692	115179	102722	115410	120290	109048	111650	112879	116280	108684	111414	114829	106458	107278	119771	117924	115657	121485	105831	95836.2	106631	106951	106102	114206
4ET_HUMAN	21445.6	20807.8	20551.8	20381.1	21353.9	22821.5	21783.2	24238.1	20930.7	22382.4	19724.2	20917.9	21292.7	20298.1	21571.2	21323.1	22945.3	20967.8	23094.7	21567.2	18196.4	21350.3	20467.7	20479.2	21424.4	22961.5	22709.8	20656.9	20898.6	21449
4F2_HUMAN	16900.2	13325.1	16196	17469.6	14578.8	12249.2	17458.4	11689.8	13692.1	15885.3	14692.2	12270	16847	12715.5	13343.8	10569.6	14687.6	13697	13501.2	14557.4	14098.4	9420.28	12737.1	13086.6	17903.1	16573.8	9948.15	16542.3	6932.84	13703.9
5MP1_HUMAN	99086.6	104934	97770.8	110684	95454.6	101155	107797	90716.8	103342	97300.4	101832	86085.8	99937.9	91568.1	85036.1	113004	100602	93127.2	100653	96455.8	74266.1	89685.9	79906.6	71611	98479.3	102752	102949	79776.8	105645	96976.6
5MP2_HUMAN	176992	188312	170677	187084	170192	174301	192465	163936	187358	165685	159650	159684	179742	158143	182432	184221	194562	167981	195017	171470	135474	164004	144511	137038	171188	192766	175613	142452	187946	178984
5NTC_HUMAN	4691.84	3374.07	3039.12	3845.29	4125.3	2664.47	3930.78	3691.6	3865.87	2759.34	3477.78	3318.64	3856.32	4747.03	5405.56	2414.43	4116.93	3655.25	3506.23	2940.21	3950.26	2788.4	4266.48	9797.92	3358.85	4288.33	3406.02	2709.29	3878.78	4035.42
6PGD_HUMAN	37181.5	33917.6	39978.4	33121.9	30030.5	26831	35002.2	42849.1	42025.9	31494.2	27236.5	43736.1	41950.1	40127.6	40971.4	27831.4	37459.6	30513.8	44598.9	33085.8	35190.3	34278.8	26438	31265.9	37280.2	44268.4	29838.3	39132.9	31545.5	37305.8
8ODP_HUMAN	3460.43	NA	NA	2900.54	NA	NA	NA	3282.8	3096.82	2177.29	NA	2052.87	NA	5144.4	2445.29	525.908	2886.57	NA	NA	2617.29	NA	1062.33	NA	2325.09	3522.78	2627.48	611.398	2215.59	2810.68	1915.83
A4_HUMAN	17137.5	17160.7	18123	19312.9	17251.3	14494.3	18036.8	17635.3	17541.4	16098.9	13830.5	14711.8	13345.5	12134.1	14010.5	13601.4	14876.7	13152.3	14393.2	12978.1	9566.1	12980	10704.5	11718	15469.2	16135.5	13356.2	13594.3	12028.1	12613.3
AAAS_HUMAN	14539	14387.4	15033.5	13650.7	12310.7	10385.9	13520.4	18737.7	17503.1	13799.9	9584.09	17160.9	12759.1	14777.1	15249.4	14195.4	13890.7	11916.7	13502.2	14249.6	13322.6	14864.8	11621.6	13420.7	14925.3	15672.7	14160.1	14212.6	12680.2	13744.6
AAAT_HUMAN	16211.6	12812.7	13594.5	17185.6	13136.3	10598	17460.3	9576.87	12514.3	16222	14543.2	11894.1	13638	10917.6	11421.1	11430.7	12351.2	13785.6	10949.9	12271.1	10533.9	10324.7	14543.8	9666.17	14483.5	14910.9	9545.63	13376.3	9048.29	12547.1
AAK1_HUMAN	28945.5	29226.9	31717.7	28480.9	28984.7	27781.3	29020.8	28288.2	28598.1	29590.5	30864.3	28212.5	30865.1	30150.5	31175.3	31206.3	29649.4	30687	30744.3	30226.6	30164.7	29679	29317	28486.4	29864.6	29015.5	29364.3	28760.1	30322.4	31617.3
AAKG1_HUMAN	7090.12	4636.79	7576.5	7774.76	5474.07	7850.57	7732.01	6993.06	8524.85	7708.55	7534.26	5418.84	7764.34	7775.47	6102.2	5898.06	6581.1	6367.83	7641.46	6653.08	4875.66	5391.7	5951.13	5254.98	7337.03	9815.71	8280.87	7781.66	6316.03	6964.65
AAMP_HUMAN	7234.17	8205.27	8652.4	8917.44	8066.62	7417.05	7727.48	7938.83	7530.76	9468.35	6694.59	8061.71	8443.41	7840.5	9924.46	8390.7	9167.33	8409.4	7934.46	6345.53	8974.33	7229.66	8037.66	7298.97	6480.29	9276.26	7408.3	7972.43	5667.88	7523.1
AAPK1_HUMAN	12184.2	11284.1	13548.8	12813.3	12765.9	10355	12691	11833.6	13864.9	15321.4	12728.2	16017.5	13727.1	12267	16719.5	11561	11130	12298.3	14787.7	14933.3	13963	12526.2	10968.5	12053.5	13067.3	11627.2	10041.4	14422.7	10922.5	12700
AAR2_HUMAN	26410.6	28571.2	29047.1	27551.1	29705.9	28412	28595	26952.3	27665.1	30503.2	26470.3	29257.1	27712.7	23843.5	27208.6	28452.3	25302.3	27293.8	30675.3	31673.2	26111.2	26125.3	26621.8	26595.7	29327	28177.7	28950.6	27915	31720.4	26859.4
AATF_HUMAN	76543.5	83145.7	74323.1	73982.9	75803.4	79927.9	77991.4	82280.9	79564.4	80381.4	78578.2	80424	70895.9	77908.8	79144.8	73308.2	80379.6	77460.8	82240.4	84902.1	83051.9	81630.4	75457.9	87919.5	78445.1	76490.6	73877.5	75216.6	83175.3	80011.6
AATM_HUMAN	6367.69	7664.3	10174.6	11187	9399.84	5297.27	10883.4	5939.38	5845.83	3486.66	NA	4501.66	14611.7	6886.52	10405.6	3321.17	7491.77	4496.72	11850.4	5755.57	5276.62	4969.21	5728.03	NA	8274.03	14905.7	4895.84	10741.7	4492.67	5007.32
ABC3B_HUMAN	13435.9	12307	12715.1	12815.7	12210	14832.5	12024.1	14206.4	13270	12500	11126.1	14682.5	13029.5	15598.6	11757.7	13056.7	13357.1	11389.9	13433.2	14620.3	11903.9	12073.3	10946.4	12472.2	12653.4	14655.1	12895.9	12508.9	12825.8	13311
ABCB6_HUMAN	15234.6	14995.8	17202.4	16699.8	15189.1	17161.5	15927.2	14657.4	17547.1	16053.4	12998.8	18112.3	14591.9	17549.4	15270.4	14834	15269.1	14269.3	14619.9	17092.2	12929.6	13385.6	14470.7	12108.8	17053.4	17221.1	16472.6	18679.4	17039.6	14770.7
ABCB7_HUMAN	2552.03	1161.08	1778.56	2343.26	3513.53	NA	1538.1	1514.49	2858	1995.39	1988.53	3474.68	3635.1	NA	2680.8	2975.79	2203.28	1935.68	2166.38	2715.68	1359.14	1930.29	1159.32	NA	2505.66	NA	NA	2162.32	3441.22	899.842
ABCD1_HUMAN	7070.82	5432.64	6813.13	5898.41	6177.2	6301.86	5925.28	6783.69	6141.82	5612.3	5035.4	7444.36	6199.94	6695.07	5221.31	5734.82	4833.86	4985.23	6629.61	6472.69	5004.43	6351.11	4618.19	6200.15	6971.47	7008.01	4603.84	6168	5178.37	4801.31
ABCD3_HUMAN	53409.6	44274.5	43761.8	40179.1	36200.5	43067.1	40909.8	55582.3	49787.9	43525.7	36399.3	46412.8	38766.9	43877.3	41715.3	44075	49327	43235	41498.4	47400.2	33215.8	46778.5	33387.7	36984.7	50766	49194.9	53413.3	43927	44813	47170.8
ABCE1_HUMAN	146523	152106	162863	160511	151220	156307	161920	160564	170789	160715	165239	169547	153594	154119	155801	153023	168898	163045	153100	171410	152004	168415	162514	150037	150648	145831	163255	162586	177091	167805
ABCF1_HUMAN	280028	269465	301284	280244	289591	276357	257967	264244	276070	283438	310068	283989	288768	304794	292088	284987	271972	293775	272793	302667	299741	299492	307324	310418	289331	256008	272353	293096	303615	294809
ABCF2_HUMAN	146267	147565	158860	142634	156263	142964	139428	141922	147098	148139	165709	148412	155889	160249	160959	149589	138386	152149	143274	154496	160908	154818	159732	159855	154982	135822	138675	155271	159839	158765
ABCF3_HUMAN	4467.06	3618.92	5556.34	4151.13	4704.94	4138.87	4922.72	4271.6	4578.35	4726.56	4594.25	5757.13	4955.54	5401.38	4115.35	4133.08	4270.37	3822.88	4069.56	4476.88	4994.74	4648.87	4256.2	3793.85	5016.51	4360.02	3480.96	4399.31	4147.06	3863.29
ABD12_HUMAN	18039.3	17576.4	17640.3	17686.8	16219.3	16158.1	17891.7	16445	18185.9	14767.3	14226.1	16833.6	16121	18468.8	16135	18650.4	17620.5	15007.1	18653.7	15731.3	17460.5	15508.9	16149.4	15493.3	17398.9	18625.5	19369.2	16170	16080.1	15133
ABHDA_HUMAN	6060.33	9536.88	6381.53	7818.07	7068.07	6056.68	6949.92	7681.65	7184.33	8400.1	9504.84	11146.4	6541.62	6604.18	6867.07	7746.82	6399.75	6849.61	6162.82	7651.29	7735	10176.1	8187.47	6902.01	5902.97	6838.28	7153.71	8349.52	5003.72	6180.27
ABI1_HUMAN	53125.3	49766.1	47629.8	49925.9	47509.3	45586.1	50656.3	40760.7	50470.7	44417.5	43922.4	40873.3	48650.2	48829.4	50560.4	52980	42606.4	43297.5	46798.9	38793.8	44190.8	44309.5	44345	44451.3	46803.2	55035.7	49836.5	43772.8	45424.9	43503.5
