Protein.Names	DMSO_mean	DMSO_SEM	IHK44_100nM_mean	IHK44_100nM_SEM	log2FC_100nM	negLog10Pval_100nM	IHK44_125nM_mean	IHK44_125nM_SEM	log2FC_125nM	negLog10Pval_125nM	IHK44_150nM_mean	IHK44_150nM_SEM	log2FC_150nM	negLog10Pval_150nM
1433B_HUMAN	100964.283333333	5338.34870196418	89930.6	6097.45754496632	-0.166961022739066	0.703881490631763	88407.45	3932.34291237425	-0.191605167775322	1.11575657713904	93563.35	3721.04770888971	-0.10982959910341	0.565176848898645
1433E_HUMAN	648333.75	21205.5094621032	616676.5	17127.2950865959	-0.0722228066976491	0.57996268799054	593842.833333333	30373.7409301924	-0.126655519224894	0.764229025664537	669783.833333333	15649.7916374131	0.0469588773722478	0.368815832422066
1433F_HUMAN	53908.8916666667	1375.36357834763	51173.8833333333	2065.55229344223	-0.075115532453033	0.526702708883102	50487.8333333333	2520.11840405256	-0.0945874829638615	0.573195503290456	52087.2666666667	705.471512142372	-0.0495925168023135	0.590590521429707
1433G_HUMAN	223822	4556.17200103665	215494.166666667	4461.96731212191	-0.054703032515885	0.672239911841833	200898.166666667	6177.02367604694	-0.155887450680115	1.88715610041157	215218.5	7568.03307669833	-0.0565497531629404	0.448288498916026
1433S_HUMAN	180248.2	5535.17638341865	176943.6	6027.79947078534	-0.02669527161828	0.158269916102218	177730	2916.1961353791	-0.0202976302976197	0.158575726633974	180136.2	2291.55417566332	-0.000896719446128458	0.00638645458006889
1433T_HUMAN	117210.333333333	1682.48459551385	110150.8	3496.52736487695	-0.0896197911868164	0.961130494371194	107737.616666667	3317.67603003635	-0.12157770837182	1.44940623298649	107278.833333333	2819.22720400073	-0.127734311220575	1.82585134587188
1433Z_HUMAN	117604.5	3293.50657860787	103645.15	4382.58406618363	-0.182290656130331	1.5573840765737	108605.116666667	2623.0504799332	-0.114851190463209	1.31172571113149	111962.166666667	3422.83735534003	-0.0709319532813026	0.592428953302568
2A5D_HUMAN	9375.23166666667	371.096511394872	10753.9083333333	417.82677599229	0.19793483341345	1.53790425874936	9708.33666666667	417.492537822867	0.0503697986208369	0.250566864165255	11166.1666666667	300.533620600277	0.25220774932739	2.73656420529538
2A5E_HUMAN	20559.2333333333	300.731785093722	20250.5166666667	441.08524075411	-0.0218277495028207	0.239457311138429	20226.9	723.881906114527	-0.0235112389422483	0.164493409002545	21384.6833333333	486.419520178941	0.0567913772533348	0.737667609274436
2A5G_HUMAN	19216.1	280.67218099024	19035.6333333333	422.687014757308	-0.0136129934034415	0.13678368054328	17979.05	807.581185082961	-0.0959987720080271	0.70723677874188	19848.1166666667	575.382993270087	0.0466865565691972	0.45048293787047
2AAA_HUMAN	73777.1083333333	541.133189292888	76641.4	1072.24957200582	0.0549506706266918	1.3409672824754	75968.5166666667	1000.64811877658	0.0422284077465491	1.0455273449984	75901.3833333333	1190.60505721997	0.0409529353404245	0.831218107433403
2AAB_HUMAN	5043.40166666667	204.298217782587	6159.945	542.464704871816	0.288520340595426	1.00466237572118	5435.27333333333	352.099379632765	0.107955459438292	0.440906187915789	5504.525	494.314000231634	0.12622094616184	0.378688052685082
2ABA_HUMAN	11007.35	225.751862470924	10928.3566666667	440.642125552144	-0.0103907099615324	0.0568380279137994	10423.41	431.089652323041	-0.078639854476716	0.57658204859268	10750.525	470.331884905046	-0.0340600691338793	0.195991807851296
3BP1_HUMAN;BGIN_HUMAN	10842.5733333333	203.761209876917	10912.46	419.349938992881	0.00926916476774409	0.0531431972525655	11088.5966666667	464.776480484019	0.0323695938517208	0.192027971660581	10763.1433333333	375.08620539521	-0.0106077280490808	0.0670314597083808
3HIDH_HUMAN	2749.68916666667	235.27832949077	3406.148	289.315051654766	0.308872581429018	0.95725386434677	2960.70833333333	405.455188970098	0.106673832874812	0.177918894895463	2854.50833333333	336.581679184678	0.053973732900964	0.0949008735219371
3MG_HUMAN	113120.083333333	1500.57026260187	112622.666666667	1098.93511081309	-0.00635787168948454	0.10096217031207	114762.166666667	2620.78074139071	0.0207920229521505	0.221312863917627	105926.2	2394.09074459038	-0.0947956154944087	1.50543976675018
4ET_HUMAN	21444.85	353.947029828253	21399.7	357.569030165272	-0.00304065302145773	0.031611206842137	20859.25	661.515420203238	-0.0399439385094258	0.33950089293804	21683.3666666667	386.379529018353	0.0159575492348605	0.182706067966995
4F2_HUMAN	14700.5583333333	600.86346006826	13643.4166666667	851.572752193128	-0.107665972254916	0.476055162350838	12900.1633333333	746.422263162377	-0.188481618033268	1.06525846102918	13600.6816666667	1768.38069666464	-0.112191989036951	0.238980138839758
5MP1_HUMAN	99679.9166666667	1998.95823496297	97212.55	3937.43415629603	-0.036160286552203	0.227499593022622	85429.7333333333	4890.55569710073	-0.222564583194647	1.49541295850925	97763.1166666667	3823.37347555939	-0.0280125835652072	0.174673621282784
5MP2_HUMAN	174694.666666667	3377.18008451316	177846.833333333	5260.60174895526	0.0257997223704685	0.203510249613916	157919	9515.75374488713	-0.14565080495861	0.83748375906791	174824.833333333	7241.54045497994	0.00107456558600916	0.00548859686119458
5NTC_HUMAN	3565.34166666667	168.414122931474	4032.58666666667	416.112274277561	0.177665202716314	0.476145301666938	4541.58333333333	1076.48231383108	0.349155015507737	0.387759752959911	3612.78166666667	233.043107220054	0.019069733422354	0.0594134854210056
6PGD_HUMAN	35283.7416666667	1706.8451603567	36475.65	2413.52426101334	0.0479301276545918	0.157891657300048	34142.95	2444.06440841889	-0.0474158450174507	0.148756035109054	36561.85	2140.40955002386	0.0513355117452878	0.187443238344209
8ODP_HUMAN	2828.45833333333	238.647979912069	2750.542	948.298254700141	-0.0402999857556292	0.0264219214034647	2001.57	477.135216055156	-0.498883846929656	0.662583889215371	2283.95966666667	402.813966111874	-0.308478744533922	0.55617114338481
A4_HUMAN	16777.8666666667	478.873177892697	13520.0833333333	373.015790922821	-0.31145524242809	4.17221526745768	12056.65	714.304882968984	-0.476730183413233	3.51649183170649	13866.1	658.324414960689	-0.27499721622172	2.32256016923088
AAAS_HUMAN	14217.7741666667	785.552284759967	13798.0666666667	511.544123001895	-0.0432294884367064	0.180218049097442	13496.9166666667	446.865856394412	-0.0750657593631487	0.359502006379739	14232.5833333333	416.632024226548	0.00150192230363366	0.00571525134195382
AAAT_HUMAN	13812.4558333333	738.154260400673	12257.3666666667	497.599057251697	-0.172320782997771	1.00076903223374	11381.595	724.693428624592	-0.27926710235641	1.46800828953464	12318.62	1015.90752457429	-0.165129204940936	0.583763834610708
