Protein.Names	X240301_RH4_DMSO_01	X240301_RH4_DMSO_02	X240301_RH4_DMSO_03	X240301_RH4_DMSO_04	X240301_RH4_DMSO_05	X240301_RH4_DMSO_06	X240301_RH4_DMSO_07	X240301_RH4_DMSO_08	X240301_RH4_DMSO_09	X240301_RH4_DMSO_10	X240301_RH4_DMSO_11	X240301_RH4_DMSO_12	X240301_RH4_IHK44_100nM_01	X240301_RH4_IHK44_100nM_02	X240301_RH4_IHK44_100nM_03	X240301_RH4_IHK44_100nM_04	X240301_RH4_IHK44_100nM_05	X240301_RH4_IHK44_100nM_06	X240301_RH4_IHK44_125nM_01	X240301_RH4_IHK44_125nM_02	X240301_RH4_IHK44_125nM_03	X240301_RH4_IHK44_125nM_04	X240301_RH4_IHK44_125nM_05	X240301_RH4_IHK44_125nM_06	X240301_RH4_IHK44_150nM_01	X240301_RH4_IHK44_150nM_02	X240301_RH4_IHK44_150nM_03	X240301_RH4_IHK44_150nM_04	X240301_RH4_IHK44_150nM_05	X240301_RH4_IHK44_150nM_06
ACSL1_HUMAN	7073.34	NA	NA	4334.35	NA	4526.77	5419.06	NA	NA	NA	NA	NA	NA	7089.7	5890.35	4084.34	5282.33	4859.24	NA	NA	NA	4847.54	NA	NA	6544.81	NA	NA	NA	NA	4097.93
AKT2_HUMAN	NA	NA	1513.94	915.227	772.818	NA	NA	1920.27	NA	NA	NA	1361.37	971.595	NA	2290.44	NA	NA	NA	1262.13	746.204	1050.16	1090.25	NA	508.705	NA	913.304	NA	NA	735.335	NA
AMMR1_HUMAN	NA	101405	NA	NA	NA	NA	NA	117103	103704	125743	NA	NA	NA	NA	NA	138474	NA	NA	99538.3	NA	NA	126649	NA	119133	NA	119332	134318	NA	106126	138724
ANFY1_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	520.722	NA	NA	NA	NA	NA	NA
AP2D_HUMAN	NA	NA	NA	NA	66283.4	NA	NA	NA	NA	NA	75006	63847.9	NA	NA	NA	NA	54104.9	NA	NA	NA	NA	NA	NA	NA	48926.3	47453.5	NA	NA	NA	NA
ARMC6_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT2B4_HUMAN	9554.1	NA	NA	10794.7	12417.5	8276.85	NA	NA	10017.9	9765.44	NA	NA	5152.84	NA	NA	NA	8118.83	NA	7958.75	9301.89	NA	NA	18172.5	NA	5744.41	8212.45	10238.1	13353.3	7708.51	7410.52
ATS18_HUMAN	1364.84	NA	879.322	1425.55	NA	NA	NA	1065.28	919.208	1202.15	1664.78	880.879	NA	NA	NA	NA	935.062	NA	NA	1224.04	NA	2212.07	NA	NA	NA	NA	NA	1674.81	1542.82	NA
BACH1_HUMAN	591.07	NA	734.49	879.817	347.263	688.108	NA	756.762	787.329	406.286	1112.52	NA	NA	NA	527.744	865.096	644.842	613.6	757.393	NA	630.899	NA	NA	324.288	1016.22	NA	NA	NA	NA	942.349
BCAR1_HUMAN	6198.77	NA	4653.39	NA	7432.11	6039.47	10474.6	6287.67	NA	5314.38	NA	NA	NA	NA	NA	NA	NA	3910.35	NA	4498.07	8557.78	NA	6777.56	NA	NA	NA	NA	6609.31	NA	NA
BEGIN_HUMAN	1746.53	2310.47	NA	1619.12	1340.97	NA	1051.09	NA	1754.93	NA	NA	NA	NA	NA	NA	2046.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	2771.96	2563.42	807.463	1398.73	NA
C2CD3_HUMAN	NA	9116.21	NA	NA	NA	9909.21	NA	NA	NA	NA	NA	NA	10421.8	9987.97	8434.04	NA	NA	NA	8904.29	NA	NA	10337.2	12604	11468.9	8626.12	11129.3	NA	11115.6	6649.77	9166.74
CAC1D_HUMAN	NA	NA	4221.41	5754.77	4993.06	5785.93	NA	NA	NA	6707.16	4007.39	NA	NA	NA	5914.09	NA	4760.38	4936.24	NA	NA	3229.14	4903.06	NA	NA	NA	NA	4984.68	NA	4444.2	5435.5
CART_HUMAN	NA	NA	NA	NA	NA	NA	7305.04	NA	14258.3	NA	NA	9792.63	NA	NA	6946.06	NA	7625.59	NA	NA	NA	NA	14273.3	13215	NA	NA	7056.01	NA	9424.34	20286.5	NA
CASP8_HUMAN	30918.2	NA	NA	NA	27519.3	NA	NA	31308.9	32253.2	NA	NA	NA	23912.2	NA	NA	30306.2	NA	22380.7	NA	19583.4	NA	NA	NA	NA	NA	NA	20512.2	NA	NA	NA
CBL_HUMAN	1065.16	NA	NA	NA	NA	568.989	NA	237.117	NA	418.56	782.844	462.646	NA	NA	NA	1098.23	513.281	671.795	NA	NA	NA	NA	NA	NA	690.398	NA	NA	NA	1050.14	NA
CBPA2_HUMAN	1109.66	2319.8	1547.43	3171.82	2440.95	1623.86	NA	NA	NA	2547.32	NA	2763.22	3098.95	1788.14	NA	2869.55	NA	1883.73	2080.34	1257.73	763.266	2716.28	3669.44	NA	2237.63	NA	NA	NA	NA	NA
CDS2_HUMAN	3057.65	2124.18	NA	2588.03	NA	1264.08	NA	NA	1686.82	NA	NA	1409.84	1297.56	2033.9	NA	NA	NA	1649.37	NA	1507.93	1841.24	1913.82	NA	NA	2751.76	NA	1474.27	NA	NA	NA
CERS5_HUMAN	NA	534.602	321.559	451.32	418.964	503.916	486.256	NA	281.862	NA	167.65	NA	667.71	254.061	NA	489.321	309.022	273.162	494.647	NA	NA	NA	NA	NA	242.767	262.896	492.407	352.887	362.715	398.774
CFA91_HUMAN	NA	33262.3	22296.9	28564	23357.4	32092.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	29973.3	NA	NA	NA	NA	NA	NA	17732.2	19678.3	NA	NA	NA	NA	29550.4	NA
