Protein.Names,240301_RH4_DMSO_01,240301_RH4_DMSO_02,240301_RH4_DMSO_03,240301_RH4_DMSO_04,240301_RH4_DMSO_05,240301_RH4_DMSO_06,240301_RH4_DMSO_07,240301_RH4_DMSO_08,240301_RH4_DMSO_09,240301_RH4_DMSO_10,240301_RH4_DMSO_11,240301_RH4_DMSO_12,240301_RH4_IHK44_100nM_01,240301_RH4_IHK44_100nM_02,240301_RH4_IHK44_100nM_03,240301_RH4_IHK44_100nM_04,240301_RH4_IHK44_100nM_05,240301_RH4_IHK44_100nM_06,240301_RH4_IHK44_125nM_01,240301_RH4_IHK44_125nM_02,240301_RH4_IHK44_125nM_03,240301_RH4_IHK44_125nM_04,240301_RH4_IHK44_125nM_05,240301_RH4_IHK44_125nM_06,240301_RH4_IHK44_150nM_01,240301_RH4_IHK44_150nM_02,240301_RH4_IHK44_150nM_03,240301_RH4_IHK44_150nM_04,240301_RH4_IHK44_150nM_05,240301_RH4_IHK44_150nM_06,240301_RH4_dBET6_100nM_01,240301_RH4_dBET6_100nM_02,240301_RH4_dBET6_100nM_03,240301_RH4_dBET6_100nM_04,240301_RH4_dBET6_100nM_05,240301_RH4_dBET6_100nM_06,240301_RH4_dBET6_125nM_01,240301_RH4_dBET6_125nM_02,240301_RH4_dBET6_125nM_03,240301_RH4_dBET6_125nM_04,240301_RH4_dBET6_125nM_05,240301_RH4_dBET6_125nM_06,240301_RH4_dBET6_150nM_01,240301_RH4_dBET6_150nM_02,240301_RH4_dBET6_150nM_03,240301_RH4_dBET6_150nM_04,240301_RH4_dBET6_150nM_05,240301_RH4_dBET6_150nM_06
1433B_HUMAN,89895.8,87263.0,79323.0,136691.0,105311.0,107086.0,135470.0,91128.1,89012.0,107318.0,92537.7,90535.8,82296.7,75242.5,72609.6,99741.8,104614.0,105079.0,84469.5,96748.8,83003.9,96404.0,96337.2,73481.3,83411.0,85483.3,107184.0,100761.0,90487.6,94053.2,79048.8,97610.6,100051.0,84485.4,78667.8,100978.0,79287.2,91114.8,105669.0,68270.9,61314.3,91967.2,79398.3,96590.4,79875.7,90080.2,79661.7,58279.2
1433E_HUMAN,626526.0,601329.0,645765.0,736850.0,689596.0,730988.0,788086.0,616958.0,582629.0,638885.0,551487.0,570906.0,666155.0,567981.0,579837.0,599596.0,664696.0,621794.0,688755.0,664926.0,578809.0,535618.0,600858.0,494091.0,632683.0,699667.0,717289.0,661481.0,687264.0,620319.0,702714.0,728620.0,671596.0,665615.0,546790.0,667167.0,646226.0,695991.0,687109.0,560730.0,551488.0,613076.0,590937.0,645243.0,621161.0,648650.0,612034.0,419074.0
1433F_HUMAN,52053.9,50166.4,56447.1,58513.4,52186.2,58553.8,63412.0,49178.1,53103.9,55930.2,50677.4,46684.3,56387.7,46009.0,51531.0,45240.7,57367.5,50507.4,57636.4,56418.5,47592.9,46740.1,52797.4,41741.7,54215.1,53414.4,50037.2,53191.1,50641.0,51024.8,40564.5,47777.1,50045.0,39962.2,39961.6,46903.4,48162.1,51507.1,48767.5,41274.2,50539.8,46901.6,42683.3,44744.8,40371.9,48974.7,41779.4,37353.9
1433G_HUMAN,218023.0,216576.0,209908.0,247861.0,242103.0,225833.0,245215.0,210655.0,214766.0,233140.0,196573.0,225211.0,227774.0,198812.0,220591.0,205558.0,219492.0,220738.0,217919.0,219771.0,191619.0,199654.0,194895.0,181531.0,192556.0,230267.0,238702.0,224588.0,199402.0,205796.0,213041.0,224242.0,214119.0,203035.0,191159.0,209604.0,197444.0,217206.0,221233.0,185513.0,198288.0,188543.0,180938.0,212178.0,195213.0,211961.0,182580.0,179013.0
1433S_HUMAN,180411.0,170898.0,156720.0,,183548.0,200847.0,217423.0,178195.0,177626.0,,166442.0,170372.0,174582.0,158234.0,,175327.0,180835.0,195740.0,180404.0,171941.0,187438.0,177026.0,171841.0,,,182158.0,187214.0,179847.0,178175.0,173287.0,177515.0,181633.0,196200.0,182168.0,177733.0,184770.0,189960.0,204697.0,200642.0,187800.0,166502.0,182113.0,156764.0,189206.0,167900.0,199166.0,178409.0,160165.0
1433T_HUMAN,110260.0,118142.0,118413.0,128144.0,124011.0,116916.0,121076.0,114690.0,109403.0,120659.0,109504.0,115306.0,117134.0,107158.0,105603.0,96486.8,116743.0,117780.0,117246.0,116077.0,104499.0,109809.0,102257.0,96537.7,107997.0,114161.0,103829.0,114768.0,96223.0,106695.0,111687.0,110337.0,114570.0,116292.0,102032.0,117521.0,121416.0,124086.0,132821.0,114076.0,110856.0,99225.2,101838.0,108705.0,101798.0,107795.0,98727.5,89254.7
1433Z_HUMAN,109820.0,112032.0,118676.0,131813.0,130136.0,127934.0,133692.0,114000.0,103107.0,122035.0,104975.0,103034.0,114089.0,88170.8,101913.0,95097.1,115448.0,107153.0,115440.0,114937.0,106077.0,104763.0,111345.0,99068.7,102612.0,116710.0,122784.0,118499.0,105973.0,105195.0,111452.0,108821.0,108470.0,120172.0,97815.1,122720.0,109395.0,118682.0,120333.0,104567.0,108926.0,108466.0,106401.0,116347.0,98846.3,119322.0,103398.0,86366.2
2A5D_HUMAN,11539.0,8939.97,11479.0,8641.31,8578.12,9217.32,10125.0,9153.09,8116.72,7446.42,8729.83,10537.0,11380.3,10674.3,12026.4,9247.0,11268.5,9926.95,11117.0,10465.0,8608.78,10073.2,9384.57,8601.47,11573.6,10386.7,10772.0,10983.9,10834.9,12445.9,12878.9,13767.5,13350.9,14044.4,11533.5,13324.5,15582.2,12383.7,15578.9,16108.9,10613.0,12623.6,13295.6,13552.1,11591.8,12646.2,13099.5,11079.1
2A5E_HUMAN,23003.3,19860.3,20073.5,20058.1,20580.0,21573.0,20104.7,20764.3,21502.7,19904.6,20241.1,19045.2,21797.0,20084.9,21385.3,19297.3,19450.7,19487.9,21542.9,22672.7,19716.2,20125.2,19830.3,17474.1,22180.3,19955.3,19892.9,22287.7,22558.9,21433.0,20825.8,18270.1,20144.0,15980.3,18185.6,21623.6,20112.0,19817.7,20120.5,17975.7,18902.2,18949.0,21051.8,17949.8,18324.2,23788.0,18650.9,18954.8
2A5G_HUMAN,19170.5,19822.1,19841.3,19347.7,17806.6,20054.9,18432.1,20027.7,20289.0,19239.5,19454.9,17106.9,19378.9,18143.8,17556.6,20043.0,20147.4,18944.1,19869.3,19878.0,15047.6,19180.4,17288.6,16610.4,21766.3,19875.7,18721.7,17793.8,20456.2,20475.0,19033.4,17323.1,18896.2,18752.2,16648.6,20024.7,17131.1,17217.2,18736.0,17761.5,17002.6,16626.9,18726.3,17943.9,17373.4,16849.7,17338.3,15902.2
2AAA_HUMAN,73508.3,72442.7,73085.8,75228.7,71782.0,71054.3,71873.3,75002.6,76757.0,73481.5,76652.0,74457.1,73398.8,80928.3,78174.4,75804.2,76490.6,75052.1,72713.9,80078.9,75227.6,76437.3,76574.5,74778.9,75690.1,72986.5,71973.8,78500.8,79098.5,77158.6,67502.5,68320.5,69860.7,70503.7,69745.1,72844.8,69983.9,64818.0,72448.2,71170.0,75506.0,66539.2,67853.9,67516.2,67068.8,66631.0,67324.5,69817.5
2AAB_HUMAN,5185.08,5241.2,6711.66,4079.97,4323.5,4575.61,5678.17,4975.96,5013.29,4579.69,4644.78,5511.91,5171.8,8255.35,6702.82,4392.8,6353.59,6083.31,6718.51,5794.65,4705.13,4377.64,5882.78,5132.93,5280.75,4030.98,7348.32,6314.54,5572.1,4480.46,6303.26,5748.54,4802.45,5442.6,5297.08,6078.92,6117.53,5243.47,5332.3,6172.52,6174.86,5233.34,7081.54,6496.45,6252.55,5902.1,6017.89,4514.97
2ABA_HUMAN,11315.5,10099.1,11916.0,11207.4,10226.7,10083.6,11458.7,10980.9,12475.8,10615.1,10177.3,11532.1,12769.3,10208.3,11338.0,11022.5,10574.8,9657.24,12391.5,9616.88,10251.8,10584.0,9439.38,10256.9,10474.7,12429.5,10175.7,11881.0,9443.65,10098.6,18375.2,16926.4,14850.8,16165.8,14297.0,17799.6,17543.8,13251.2,18609.4,17454.9,17712.2,19390.2,16257.7,17143.8,17778.0,11645.2,18148.8,15990.2
3BP1_HUMAN;BGIN_HUMAN,11227.4,10962.1,10581.5,10480.6,11410.6,11114.5,11202.2,11302.9,9398.98,10659.5,11948.3,9822.3,10155.5,11136.8,9812.86,12606.6,10347.1,11415.9,9083.98,10888.2,12374.2,11836.0,10861.8,11487.4,9086.76,11439.1,10337.5,11176.4,11480.1,11059.0,9463.58,8740.01,11238.8,10154.8,11665.5,10888.4,8812.02,9495.02,10455.0,9008.31,10491.3,10473.6,10050.1,10250.3,10289.6,10049.8,10751.2,11744.5
