location	box	#	antibody name	target	Concentration (ug/uL)	host species	clonality	conjugate	applications (recommended dilution)	aliquoting instructions	aliquot?	source	catalog #	lot #
antibodies_1	antibodies	1	anti-H3K27ac	H3K27ac	1	Rabbit	Monoclonal	HRP	WB, IF, IHC, IP, ChIP			Millipore	MABE647	
antibodies_2	antibodies	2												
antibodies_3	antibodies	3												
antibodies_4	antibodies	4												
antibodies_5	antibodies	5												
antibodies_6	antibodies	6												
antibodies_7	antibodies	7												
antibodies_8	antibodies	8												
antibodies_9	antibodies	9												
antibodies_10	antibodies	10												
antibodies_11	antibodies	11												
antibodies_12	antibodies	12												
antibodies_13	antibodies	13												
antibodies_14	antibodies	14												
antibodies_15	antibodies	15												
antibodies_16	antibodies	16												
antibodies_17	antibodies	17												
antibodies_18	antibodies	18												
antibodies_19	antibodies	19												
antibodies_20	antibodies	20												
antibodies_21	antibodies	21												
antibodies_22	antibodies	22												
antibodies_23	antibodies	23												
antibodies_24	antibodies	24												
antibodies_25	antibodies	25												
antibodies_26	antibodies	26												
antibodies_27	antibodies	27												
antibodies_28	antibodies	28												
antibodies_29	antibodies	29												
antibodies_30	antibodies	30												
antibodies_31	antibodies	31												
antibodies_32	antibodies	32												
antibodies_33	antibodies	33												
antibodies_34	antibodies	34												
antibodies_35	antibodies	35												
antibodies_36	antibodies	36												
antibodies_37	antibodies	37												
antibodies_38	antibodies	38												
antibodies_39	antibodies	39												
antibodies_40	antibodies	40												
antibodies_41	antibodies	41												
antibodies_42	antibodies	42												
antibodies_43	antibodies	43												
antibodies_44	antibodies	44												
antibodies_45	antibodies	45												
antibodies_46	antibodies	46												
antibodies_47	antibodies	47												
antibodies_48	antibodies	48												
antibodies_49	antibodies	49												
antibodies_50	antibodies	50												
antibodies_51	antibodies	51												
antibodies_52	antibodies	52												
antibodies_53	antibodies	53												
antibodies_54	antibodies	54												
antibodies_55	antibodies	55												
antibodies_56	antibodies	56												
antibodies_57	antibodies	57												
antibodies_58	antibodies	58												
antibodies_59	antibodies	59												
antibodies_60	antibodies	60												
antibodies_61	antibodies	61												
antibodies_62	antibodies	62												
antibodies_63	antibodies	63												
antibodies_64	antibodies	64												
antibodies_65	antibodies	65												
antibodies_66	antibodies	66												
antibodies_67	antibodies	67												
antibodies_68	antibodies	68												
antibodies_69	antibodies	69												
antibodies_70	antibodies	70												
antibodies_71	antibodies	71												
antibodies_72	antibodies	72												
antibodies_73	antibodies	73												
antibodies_74	antibodies	74												
antibodies_75	antibodies	75												
antibodies_76	antibodies	76												
antibodies_77	antibodies	77												
antibodies_78	antibodies	78												
antibodies_79	antibodies	79												
antibodies_80	antibodies	80												
antibodies_81	antibodies	81												
